,User_A,User_B,Interaction
208,miki_fern,CarymaRules,Retweet
209,hopefulcritic,CarymaRules,Retweet
210,phemale61,phemale61,Tweet
211,LelouMorin,CarymaRules,Retweet
212,blackhandgame,CarymaRules,Retweet
213,apeykins,CarymaRules,Retweet
214,Canuck604BLM,CarymaRules,Retweet
215,ItzDatShortStuf,CarymaRules,Retweet
216,StevenK007,CarymaRules,Retweet
217,cjacchris8,CarymaRules,Retweet
218,WakeuptimeNOW,WakeuptimeNOW,Tweet
219,Canuck604BLM,CarymaRules,Retweet
220,zchamu,CarymaRules,Retweet
221,makeminemaple,makeminemaple,Tweet
222,stepanouk,CarymaRules,Retweet
223,CF18Handler,CheesyAllie,Retweet
224,ThatADHD_EA,CarymaRules,Retweet
225,VikingJonesy,CarymaRules,Retweet
226,ElkeBabiuk,ElkeBabiuk,Tweet
227,zchamu,CarymaRules,Retweet
228,plain_me9,CarymaRules,Retweet
229,AnnHilton35,CarymaRules,Retweet
230,couchieMeowMeow,CarymaRules,Retweet
231,PureShakti,CarymaRules,Retweet
232,annie_horton50,CarymaRules,Retweet
233,Jewelanland,CarymaRules,Retweet
234,reesanicholson,reesanicholson,Tweet
235,bleeduntildeath,CarymaRules,Retweet
236,PureShakti,CarymaRules,Retweet
237,nhutchings,CarymaRules,Retweet
238,MaggieGranny,CarymaRules,Retweet
239,_nuotio_,CarymaRules,Retweet
240,zchamu,CarymaRules,Retweet
241,stamps_fan81,CarymaRules,Retweet
242,candissabean,CarymaRules,Retweet
243,BBWriterCRD,BBWriterCRD,Tweet
244,ntreallyhuman,CarymaRules,Retweet
245,OdetteInOntario,CarymaRules,Retweet
246,williamdore,CarymaRules,Retweet
247,ntreallyhuman,CarymaRules,Retweet
248,doghairgalore,CarymaRules,Retweet
249,111Perspective,111Perspective,Tweet
250,TheFluFighters,CarymaRules,Retweet
251,SuzieqVayglo,CarymaRules,Retweet
252,stuckncalgary,CarymaRules,Retweet
253,jojorobo58_jojo,CarymaRules,Retweet
254,FixxieW,CarymaRules,Retweet
255,Reknewthegreat4,Reknewthegreat4,Tweet
256,CarymaRules,CarymaRules,Tweet
257,Heron09,CarymaRules,Retweet
258,bgkmsc,CarymaRules,Retweet
259,KCGooner,CarymaRules,Retweet
260,lisarose1308,CarymaRules,Retweet
261,lambk,CarymaRules,Retweet
262,lindabintoronto,CarymaRules,Retweet
263,DCMiaMia,CarymaRules,Retweet
264,fistacuff789,CarymaRules,Retweet
265,wader306,CarymaRules,Retweet
266,DM4C80,CarymaRules,Retweet
267,johndowe49,CarymaRules,Retweet
268,J4ckRathunter,CarymaRules,Retweet
269,mathiasced,CarymaRules,Retweet
270,AmandaParriag,CarymaRules,Retweet
271,mvriumm,CarymaRules,Retweet
272,LALegault,CarymaRules,Retweet
273,CameraguyRob,CarymaRules,Retweet
274,Milnoc,CarymaRules,Retweet
275,NatChicklets,CarymaRules,Retweet
276,canteach,CarymaRules,Retweet
277,Jewelanland,CarymaRules,Retweet
278,AMacEwen,CarymaRules,Retweet
279,scottjyyc,CarymaRules,Retweet
280,scottjyyc,CarymaRules,Retweet
281,cavanagh_danny,CarymaRules,Retweet
282,AlexKronstein,CarymaRules,Retweet
283,AlexKronstein,CarymaRules,Retweet
284,scottjyyc,CarymaRules,Retweet
285,rqode,CarymaRules,Retweet
286,cavanagh_danny,CarymaRules,Retweet
287,MaryJoNabuurs,CarymaRules,Retweet
288,nhighlands7,Numbers28,Retweet
289,suepeac,CarymaRules,Retweet
290,scottjyyc,CarymaRules,Retweet
291,Social_Canadian,CarymaRules,Retweet
292,DonnaLoyd4,DonnaLoyd4,Tweet
293,aaallanaaa,CarymaRules,Retweet
294,jgmac756,CarymaRules,Retweet
295,whyamiboredasf,CarymaRules,Retweet
296,c_chickpea,CarymaRules,Retweet
297,WithForethought,CarymaRules,Retweet
298,MajorC4,CarymaRules,Retweet
299,bauthorfowler,bauthorfowler,Tweet
300,JoshMontigue,CarymaRules,Retweet
301,RalphCr25029396,CarymaRules,Retweet
302,StetsonSt1,CarymaRules,Retweet
303,c_chickpea,CarymaRules,Retweet
304,skoonamat,skoonamat,Tweet
305,mzvividlyfoxxy,CarymaRules,Retweet
306,Tansarama,CarymaRules,Retweet
307,NatChicklets,CarymaRules,Retweet
308,nennegumman,CarymaRules,Retweet
309,ura5ch3wo,CarymaRules,Retweet
