,tweet_id,type,reference_tweet_id
181,1489326192909950979,retweeted,1489308485766418432
182,1489326185267957760,retweeted,1489324569768857602
183,1489326166750027777,retweeted,1489308485766418432
184,1489342896792813578,retweeted,1489295037967978497
185,1489342888899137546,retweeted,1489324569768857602
186,1489342870695907332,retweeted,1489318397988917249
187,1489342735949697029,retweeted,1489308485766418432
188,1489342698670678024,retweeted,1489309741088055297
189,1489342652764114957,retweeted,1489336480648642561
190,1489342605594877953,retweeted,1489319274707447809
191,1489342585202163716,retweeted,1489308485766418432
192,1489342528058974210,retweeted,1489284644700831748
193,1489342439026536449,retweeted,1489298257540902914
194,1489342394805927940,retweeted,1489319274707447809
195,1489342367031345152,retweeted,1489308485766418432
196,1489342353273880577,retweeted,1489308485766418432
197,1489342335460777991,retweeted,1489308485766418432
198,1489342335330787331,retweeted,1489308485766418432
199,1489342289705066504,retweeted,1489308485766418432
200,1489342260873363462,retweeted,1489318397988917249
201,1489342227918823427,retweeted,1489308485766418432
202,1489342216095031298,retweeted,1489318397988917249
203,1489342202002223109,retweeted,1489308485766418432
204,1489342193458315265,replied_to,1489326672394407938
205,1489342150391123972,retweeted,1489308485766418432
206,1489342088252694536,retweeted,1489308485766418432
207,1489342080765759489,replied_to,1489337468914745354
208,1489342064865296387,retweeted,1489305979913129989
209,1489341987664777216,retweeted,1485791014082199558
210,1489341906073042946,retweeted,1489295037967978497
211,1489341871201656837,retweeted,1489308485766418432
212,1489341783293063168,replied_to,1489331168705011716
213,1489341770441924612,retweeted,1489318397988917249
214,1489341755694714897,retweeted,1489340694078672896
215,1489341722081599490,retweeted,1489318397988917249
216,1489341717350391814,retweeted,1489308485766418432
217,1489341616737431557,retweeted,1489305979913129989
218,1489341597892452352,retweeted,1489319274707447809
219,1489341569274683392,retweeted,1489339537356697605
220,1489341568779800582,quoted,1489156193968959488
221,1489341545253851144,retweeted,1489319274707447809
222,1489341509908451336,retweeted,1489318397988917249
223,1489341461179125762,retweeted,1489308485766418432
224,1489341454954627077,retweeted,1489340694078672896
225,1489341454241652744,retweeted,1488939789919436803
226,1489341418212663302,retweeted,1489295037967978497
227,1489341348197146628,retweeted,1489340694078672896
228,1489341297261527048,retweeted,1489308485766418432
229,1489341270434717697,quoted,1489336302369705995
230,1489357957070471172,retweeted,1489308485766418432
231,1489357927131533317,retweeted,1489326612139151369
232,1489357868608405507,retweeted,1489356788663267338
233,1489357733807730688,retweeted,1489356788663267338
234,1489357671627210760,retweeted,1489324569768857602
235,1489357258815201284,retweeted,1489318397988917249
236,1489357157946511361,retweeted,1489336480648642561
237,1489357096004952066,retweeted,1489336480648642561
238,1489357087465525249,retweeted,1489319274707447809
239,1489356966778523650,retweeted,1489318397988917249
240,1489356766898962439,retweeted,1489308485766418432
241,1489356633507389442,retweeted,1489308485766418432
242,1489356632769409030,retweeted,1489308485766418432
243,1489356500401364996,retweeted,1489308485766418432
244,1489356441030991876,retweeted,1489352444115132422
245,1489356422995488768,retweeted,1489352444115132422
246,1489356399838732288,retweeted,1489295037967978497
247,1489356362555535360,retweeted,1489308485766418432
248,1489356345740517377,retweeted,1489307161138442240
249,1489356323145850891,retweeted,1489308485766418432
250,1489356307828199425,retweeted,1489336480648642561
251,1489356035869581318,retweeted,1489352444115132422
252,1489355943615807490,retweeted,1489308485766418432
253,1489355639235227648,retweeted,1489318397988917249
254,1489355625767350280,retweeted,1488886838312022029
255,1489355394032017410,retweeted,1489319274707447809
256,1489355391251140609,retweeted,1489309741088055297
257,1489355233268543490,retweeted,1489352444115132422
258,1489355231850860545,retweeted,1489319274707447809
259,1489354986031046662,retweeted,1489352444115132422
260,1489354800420507651,retweeted,1489352444115132422
261,1489354788164849669,retweeted,1489352444115132422
262,1489354760666836993,retweeted,1489339537356697605
263,1489354585529815041,retweeted,1489339398097457156
264,1489354557272567811,retweeted,1489352444115132422
265,1489354548997152769,retweeted,1489339537356697605
266,1489354535466323968,retweeted,1489339398097457156
267,1489354494534057988,retweeted,1489340694078672896
268,1489354381543841799,retweeted,1489318397988917249
269,1489354367232888832,retweeted,1489320331328188419
270,1489354298257559555,retweeted,1489318397988917249
271,1489354174181511171,retweeted,1432733162283552769
272,1489354142237659138,retweeted,1489318397988917249
273,1489354074986213379,retweeted,1489352444115132422
274,1489353961803063297,retweeted,1489308485766418432
275,1489353882853527552,retweeted,1489308485766418432
276,1489373056002928654,retweeted,1489318397988917249
277,1489372983676317698,retweeted,1489295037967978497
278,1489372980417236993,retweeted,1489324569768857602
279,1489372903728627717,retweeted,1489318397988917249
280,1489372902742847488,retweeted,1489305979913129989
281,1489372852428021760,replied_to,1486782483270045696
282,1489372848556843012,retweeted,1489307161138442240
